58,68,2014-02,Beca de la Amistad Peruano Ecuatoriana,Beca Peru Ecuador ,Beca Amistad Perú - Ecuador,0,2,,01/06/2014,07/07/2014,08/08/2014,08/08/2014,08/08/2014,08/08/2014,0,99,RDE PENDIENTE,14/04/2026 14:01:22
59,71,2015-01,Beca Excelencia Internacional Francia,Beca Excelencia Internacional,Beca Pregrado Internacional,,1,31/12/2014,14/07/2014,20/10/2015,09/09/2014,30/04/2017,16/10/2014,21/11/2014,0,24,RDE N° 205-2014-MINEDU-VMGI-OBEC-PRONABEC, RDE N° 269-2014-MINEDU-VGMI-OBEC-PRONABEC, RDE N° 318-2014-MINEDU-VGMI-OBEC-PRONABEC, RDE N° 396-2014-MINEDU-VGMI-OBEC-PRONABEC
,14/04/2026 14:01:22
60,72,2014-02,Beca EIB,Educación Intercultural Bilingüe,Becas EIB,170,1,,22/10/2013,02/08/2014,15/07/2014,13/08/2014,20/07/2014,20/07/2014,,,RDE N° 210-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
61,73,2014-01,BECA PERU CUSCO,Beca Peru,Beca Peru,566,1,,17/07/2014,14/08/2014,15/08/2014,20/08/2014,15/08/2014,18/08/2014,16,23,RJ N° 215-2014,14/04/2026 14:01:22
62,74,2015-01,Beca Alianza del Pacífico,Beca Alianza del Pacifico ,Beca Alianza del Pacífico,100,1,,20/08/2014,03/02/2015,27/01/2015,02/02/2015,20/08/2014,02/02/2015,,,RDE N° 304-2014-MINEDU-VMGI-OBEC-PRONABEC / RDE N° 315-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
63,75,2014   ,BECA DE RECIPROCIDAD PERU-CHINA,Beca Peru - China,Beca Reciprocidad Internacional,9,1,,22/08/2014,22/08/2014,22/08/2014,22/08/2014,22/08/2014,22/08/2014,,,,14/04/2026 14:01:22
64,76,2014-01,Presidente de la República - Programa ALEPRONA,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,100,1,31/12/2014,18/08/2014,21/03/2015,20/10/2014,14/10/2015,01/12/2014,01/12/2014,,36,RDE N° 300-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
65,77,2014-01,Beca Especializacion en Pedagogía de invierno 2014 - Internacional,Beca Docente Internacional,Beca Docente,50,1,31/12/2013,07/09/2014,14/09/2014,07/09/2014,15/09/2014,17/09/2014,24/09/2014,,55,RDE N° 314-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
66,78,2014-01,Beca Especializacion en Pedagogía para Docentes y Directivos en Educacion Intercultural Bilingue,Beca Docente Internacional,Beca Docente,300,1,31/12/2014,07/10/2014,20/10/2014,20/10/2014,25/11/2014,13/10/2014,26/10/2014,,55,RDE N° 349-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
67,79,2015   ,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva,Beca Tecnico-Productiva,Módulos de Enseñanza,1000,2,,02/10/2014,17/03/2015,20/10/2014,20/05/2015,10/10/2014,15/12/2014,0,60,RDE N° 356-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
68,80,2014-01,Beca Especialización en Pedagogía para Docentes Nombrados en Instituciones Educativas Públicas en la Especialidad de Inglés,Beca Docente Internacional,Beca Docente,300,1,31/12/2014,24/11/2014,01/12/2014,26/11/2014,06/01/2015,19/11/2014,01/12/2014,0,55,RDE N° 451-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
69,81,2014-01,Ganadores de las Medallas de Oro y Plata en la Olimpiada Internacional de Matematicas,Beca Olimpiada de Matematicas,Becas olimpiadas,4,1,31/12/2014,20/11/2014,20/11/2014,20/11/2014,20/11/2014,20/11/2014,20/11/2014,,55,RVM 0071-2011-ED,14/04/2026 14:01:22
70,82,2015   ,Beca 18 Ordinaria,Modalidad Ordinaria,Beca Ordinario,,1,31/12/2014,03/12/2014,01/04/2015,01/02/2014,06/11/2015,03/12/2014,01/09/2015,,22,RDE N° 472-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
71,90,2015   ,Beca Especialización en Pedagogía - Verano 2015,Beca Docente Nacional,Beca Docente,5000,1,31/12/2014,09/12/2014,13/04/2015,22/12/2014,13/02/2015,02/02/2015,07/01/2015,,55,RDE N° 453-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
72,91,2015-02,Beca Especialización en Pedagogía para Docentes Nombrados en Instituciones Educativas Públicas en la Especialidad de Inglés,Beca Docente Internacional,Beca Docente,200,1,31/12/2014,12/12/2014,21/12/2014,17/12/2014,16/01/2015,12/12/2014,23/12/2014,,55,RDE N° 478-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
73,96,2015   ,UNILA,Beca Permanencia,Beca Permanencia de Estudios - UNILA,15,1,,26/12/2014,16/04/2015,27/03/2015,15/04/2015,26/12/2014,17/04/2015,18,60,RDE N° 506-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
74,95,2015   ,Presidente de la República,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,700,1,31/12/2015,25/01/2015,08/09/2015,02/03/2015,13/01/2016,25/01/2014,13/01/2016,0,36,RDE N° 24-2015-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
75,97,2015   ,Beca Idiomas - Ingles,Beca Ingles,Becas Especiales,1000,12,,03/02/2015,09/04/2015,06/02/2015,13/10/2015,03/02/2015,31/07/2015,,30,RDE N° 46-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
76,99,2015-01,Beca Amistad Peruano Ecuatoriana,Beca Peru Ecuador ,Beca Peru,50,2,,13/02/2015,03/07/2015,23/05/2015,31/07/2015,13/02/2015,30/07/2015,29,40,RDE N° 66-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
77,101,2015   ,BECA DE RECIPROCIDAD PERU - CHINA,Beca Peru - China,Beca Reciprocidad Internacional,38,1,31/12/2015,19/02/2015,29/03/2015,30/03/2015,07/04/2015,19/02/2015,15/07/2015,,36,RDE N° 74-2015-MINEDU-VMGI-PRONABEC / RDE N° 124-2015,14/04/2026 14:01:22
78,104,2015   ,Presidente de la República - Programa ALEPRONA,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,100,1,31/12/2015,18/03/2015,27/10/2015,16/10/2015,17/12/2015,18/03/2015,17/12/2015,,36,RDE N° 461-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
79,106,2015   ,Becas Internacionales Canalidazas,Beca Canalizada,,,,,,,,,,,,,,14/04/2026 14:01:22
80,62,2014-01,Beca para Estudios de Especializacion de Postgrado en Oncología y Pediatría - Beca Salud,Beca Salud,Becas Postgrado Extranjero,200,1,,09/06/2014,27/07/2014,06/07/2014,15/08/2014,09/06/2014,25/07/2014,,,RDE N° 165-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
81,83,2015   ,Beca 18 Albergue,Albergue,Becas Albergue,,1,31/12/2014,03/12/2014,01/04/2015,01/02/2014,30/06/2015,03/12/2014,08/06/2015,,22,RDE N° 472-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
82,92,2015   ,Beca Especialización en Pedagogía - Especialización en Innovación y Mejores Prácticas - Convocatoria verano,Beca Docente Internacional,Beca Docente,100,1,31/12/2014,13/12/2014,21/12/2014,22/12/2014,21/01/2015,15/12/2014,07/01/2015,,55,RDE N° 476-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
83,100,2015-02,Beca Alianza del Pacífico,Beca Alianza del Pacifico ,Beca Alianza del Pacífico,100,1,,21/02/2015,06/07/2015,27/01/2015,14/07/2015,20/08/2014,30/07/2015,,,RDE N° 77-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
84,102,2015   ,Beca Presidente de la República: Maestría en Ciencias de la Educación con mención en Gestión de los Entornos Virtuales para el Aprendizaje - Región Moquegua,Beca Maestría en Educación  Docente,Becas Postgrado Nacional,600,1,31/12/2015,20/02/2015,06/03/2015,11/02/2015,01/04/2015,20/02/2015,25/04/2015,,55,RDE N° 82-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
85,107,2015   ,Beca Amistad Ecuador-Perú,Beca Peru Ecuador ,Beca Amistad Perú - Ecuador,200,2,,04/06/2015,09/09/2015,10/06/2015,10/07/2015,04/06/2015,30/07/2015,15,50,RDE N° 063-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
86,108,2015   ,Beca 18 Internacional,Modalidad Pregrado Internacional,Becas Honduras,100,1,31/01/2016,18/11/2015,02/02/2016,28/12/2015,01/02/2016,18/11/2015,01/02/2016,18,22,RDE N° 499-2015-MINEDU-VMGI-PRONABEC, RDE N° 560-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
87,109,2015   ,Beca Especial de Inglés para estudiantes de 4° año de educación secundaria de instituciones públicas EBR,Beca Ingles,Becas Especiales,1000,1,31/12/2015,03/07/2015,01/08/2015,10/07/2015,16/09/2015,03/07/2015,29/08/2015,14,18,RDE N° 46-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
88,110,2015   ,Beca Doble Oportunidad,Beca Doble Oportunidad,Beca Doble Oportunidad,2000,1,31/12/2015,16/07/2015,02/09/2015,25/08/2015,19/10/2015,16/07/2015,19/10/2015,17,25,RDE N° 316-2015-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
