53,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,GESTION Y MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO,14/04/2026 14:01:19
54,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,ELECTRICIDAD INDUSTRIAL CON MENCION EN SISTEMAS ELECTRICOS DE POTENCIA,MASCULINO,14/04/2026 14:01:19
55,Beca Especial FFAA 2014-02,LIMA,Becarios declarados nulos,,,2014-08,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE INDEPENDENCIA,TECNICO EN REDES Y CABLEADO ESTRUCTURADO,MASCULINO,14/04/2026 14:01:19
56,Presidente de la República 2014-03,AUSTRALIA,Becarios declarados nulos,,,2014-10,Universidad,UNIVERSITY OF MELBOURNE,SEDE MELBOURNE,MAESTRIA: INFORMATION TECHNOLOGY,MASCULINO,14/04/2026 14:01:19
57,Beca 18 Ordinaria 2017   ,LIMA,Becarios declarados nulos,,,2017-06,Instituto de Educación Superior,IES PRIVADO CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,SEDE LINCE,ADMINISTRACION BANCARIA,FEMENINO,14/04/2026 14:01:19
58,Beca Especial FFAA 2014-02,LAMBAYEQUE,Becarios declarados nulos,,,2014-08,Instituto de Educación Superior,CENTRO DE FORMACION EN TURISMO - CENFOTUR,SEDE CHICLAYO,BAR MANAGER,FEMENINO,14/04/2026 14:01:19
59,Beca de Permanencia de Estudios Nacional - Modalidad Excelencia de 2do a 9no ciclo 2017   ,LIMA,Becarios declarados nulos,,2018-09,2017-08,Universidad,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,ECONOMIA,FEMENINO,14/04/2026 14:01:19
60,Presidente de la República 2015   ,REINO UNIDO,Becarios declarados nulos,,,2015-02,Universidad,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),SEDE LONDRES,MAESTRIA: PUBLIC POLICY AND ADMINISTRATION,MASCULINO,14/04/2026 14:01:19
61,Beca de Continuidad de Estudios 2020   ,CUSCO,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD CONTINENTAL,SEDE SAN JERONIMO,INGENIERIA INDUSTRIAL,MASCULINO,14/04/2026 14:01:19
62,Presidente de la República 2014-03,AUSTRALIA,Becarios declarados nulos,,,2014-12,Universidad,AUSTRALIAN NATIONAL UNIVERSITY,SEDE CANBERRA,MAESTRIA: MASTER OF ENERGY CHANGE,MASCULINO,14/04/2026 14:01:19
63,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,INGENIERIA DE SISTEMAS EMPRESARIALES,MASCULINO,14/04/2026 14:01:19
64,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,INGENIERIA DE SISTEMAS EMPRESARIALES,MASCULINO,14/04/2026 14:01:19
65,Beca de Permanencia de Estudios Nacional 2018   ,PIURA,Becarios declarados nulos,,2019-05,2018-08,Universidad,UNIVERSIDAD NACIONAL DE PIURA,SEDE PIURA,BIOLOGIA,FEMENINO,14/04/2026 14:01:19
66,Beca de Permanencia de Estudios Nacional 2018   ,CALLAO,Becarios declarados nulos,,,2018-09,Universidad,UNIVERSIDAD NACIONAL DEL CALLAO,SEDE BELLAVISTA,ECONOMIA,FEMENINO,14/04/2026 14:01:19
67,Beca Huallaga 2018   ,SAN MARTIN,Becarios declarados nulos,,,2018-04,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CFP MOYOBAMBA,ELECTRICISTA INDUSTRIAL,MASCULINO,14/04/2026 14:01:19
68,Presidente de la República 2014-02,ESPAÑA,Becarios declarados nulos,,2016-04,2014-06,Universidad,UNIVERSIDAD POLITECNICA DE CATALUNYA - BARCELONATECH,SEDE BARCELONA,MAESTRIA EN INGENIERIA ESTRUCTURAL EN LA ARQUITECTURA,MASCULINO,14/04/2026 14:01:19
69,Presidente de la República 2014-02,ESPAÑA,Becarios declarados nulos,,,2014-06,Universidad,UNIVERSIDAD AUTONOMA DE BARCELONA,SEDE BARCELONA,MAESTRIA: DISEÑO MULTIMEDIA,FEMENINO,14/04/2026 14:01:19
70,Beca Doble Oportunidad 2016   ,LAMBAYEQUE,Becarios declarados nulos,,,2016-05,Instituto de Educación Superior,DE FORMACION BANCARIA - CHICLAYO,SEDE CHICLAYO,GESTION Y ADMINISTRACION DE PEQUEÑOS NEGOCIOS,FEMENINO,14/04/2026 14:01:19
71,Beca 18 REPARED 2017   ,JUNIN,Becarios declarados nulos,,,2017-05,Instituto de Educación Superior,IES PRIVADO CONTINENTAL,SEDE HUANCAYO,COMPUTACION E INFORMATICA,MASCULINO,14/04/2026 14:01:19
72,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-06,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,MARKETING Y ADMINISTRACION,FEMENINO,14/04/2026 14:01:19
73,Beca VRAEM 2019   ,LIMA,Becarios declarados nulos,,,2019-02,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,MEDICINA HUMANA,FEMENINO,14/04/2026 14:01:19
74,Beca de Continuidad de Estudios 2020   ,JUNIN,Becarios declarados nulos,,,2020-06,Universidad,UNIVERSIDAD PERUANA LOS ANDES,SEDE HUANCAYO,DERECHO,FEMENINO,14/04/2026 14:01:19
75,Beca Idiomas - Ingles 2016   ,LIMA,Becarios declarados nulos,,2016-11,2016-01,Instituto de Idiomas,BRITANICO,SEDE LIMA,INGLES,FEMENINO,14/04/2026 14:01:19
76,Beca de Continuidad de Estudios 2020   ,JUNIN,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD PERUANA LOS ANDES,SEDE HUANCAYO,PSICOLOGIA,FEMENINO,14/04/2026 14:01:19
77,Beca Presidente de la República 2017   ,AUSTRALIA,Becarios declarados nulos,,,2017-05,Universidad,UNIVERSITY OF MELBOURNE,SEDE MELBOURNE ,MASTER OF ENGINEERING MANAGEMENT,FEMENINO,14/04/2026 14:01:19
78,Beca Especial FFAA 2014-02,ANCASH,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE HUARAZ (CFP Huaraz),SOLDADOR DE ESTRUCTURAS,MASCULINO,14/04/2026 14:01:19
79,Beca de Especialización en Pedagogía, dirigida a Docentes Ganadores del Concurso Nacional de Buenas Practicas Docentes del 2014-II y 2015 III 2016   ,CHILE,Becarios declarados nulos,,,2016-02,Universidad,UNIVERSIDAD DE CHILE,SEDE SANTIAGO,CURSO DE ESPECIALIZACION EN SOPORTE E INNOVACION PEDAGOGICA,MASCULINO,14/04/2026 14:01:19
80,Beca Especial FFAA 2014-02,ANCASH,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE HUARAZ (CFP Huaraz),SOLDADOR DE ESTRUCTURAS,MASCULINO,14/04/2026 14:01:19
81,Beca Especial FFAA 2014-02,ANCASH,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE HUARAZ (CFP Huaraz),SOLDADOR DE ESTRUCTURAS,MASCULINO,14/04/2026 14:01:19
82,Presidente de la República 2015   ,ESPAÑA,Becarios declarados nulos,,,2015-06,Universidad,UNIVERSIDAD POLITECNICA DE VALENCIA,SEDE VALENCIA,MAESTRIA EN BIOTECNOLOGIA MOLECULAR Y CELULAR DE PLANTAS,MASCULINO,14/04/2026 14:01:19
